totalPkt,totalSize,DNSpkt,httpPkt,TCPPkt,UDPPkt,inPkt,inByte,outPKT,outByte,ratioInOut,medianIn,medianOut,avgIn,avgOut,avgTotal,maxOutSize,maxInSize,rationNumInOut,minTimeOut,minTimeIn,avgNumpktFlowTCPIn,avgNumpktFlowUDPIn,avgSizepktFlowTCPIn,avgSizepktFlowUDPIn,avgNumpktFlowTCPOut,avgNumpktFlowUDPOut,avgSizepktFlowTCPOut,avgSizepktFlowUDPOut,result
30,4455,2,2,67,2,16,2829,14,1626,0.57,40,52,176.81,116.14,0.01,957,383,1.14,0.58,0.59,0.25,1,113.95,1,0.25,1,42.35,1,1
156,12985,4,2,219,4,133,9357,23,3628,0.39,40,60,70.35,157.74,0.01,1203,574,5.78,0.35,0.36,0.06,0.33,21.83,0.33,0.07,0.33,11.97,0.33,1
31,3682,2,1,27,8,23,2643,10,1731,0.65,40,203,114.91,173.1,0.01,958,383,2.3,12.7,0.85,0.14,0.25,51.86,0.25,0.14,0.25,19.27,0.25,1
34,4404,0,2,34,8,18,2950,16,1454,0.49,40,203,163.89,90.88,0.01,958,383,1.13,0.4,0.4,0.2,0.25,91.16,0.25,0.2,0.25,8.2,0.25,1
40,5364,2,2,38,10,21,3101,19,2263,0.73,52,60,147.67,119.11,0.01,957,405,1.11,0.42,0.42,0.17,0.5,78.59,0.5,0.17,0.5,18.14,0.5,1
39,5301,2,2,37,12,21,3120,18,2181,0.7,52,56,148.57,121.17,0.01,957,405,1.17,0.38,0.38,0.22,0.5,86.33,0.5,0.19,0.5,31.37,0.5,1
34,4808,2,2,32,14,18,3004,16,1804,0.6,52,57,166.89,112.75,0.01,957,383,1.13,0.36,0.36,0.27,0.5,107.55,0.5,0.23,0.5,9.32,0.5,1
15,2056,0,1,15,14,8,1399,7,657,0.47,52,57,174.88,93.86,0.01,957,383,1.14,0.33,0.33,0.3,0.5,114,0.5,0.3,0.5,42.4,0.5,1
596,233047,14,0,547,49,414,114446,182,118601,1.04,52,432,276.44,651.65,0,1420,1420,2.27,0.23,0,1.18,0.02,385.68,0.02,0.25,0.02,198.41,0.02,1
242,150196,0,0,242,49,179,88912,63,61284,0.69,52,432,496.72,972.76,0,1420,1420,2.84,0.97,0.26,1.18,0.02,741.76,0.02,0.3,0.02,312.2,0.02,1
35,1957,0,0,35,49,22,1242,13,715,0.58,52,432,56.45,55,0.02,1420,1420,1.69,0.11,0.04,0.1,0.02,3.39,0.02,0.06,0.02,1.32,0.02,1
80,15361,4,0,76,53,49,8010,31,7351,0.92,52,60,163.47,237.13,0.01,1420,1420,1.58,2.36,0.86,0.42,0.25,101.11,0.25,0.29,0.25,86.8,0.25,1
32,6914,1,0,31,54,22,2591,10,4323,1.67,71,299,117.77,432.3,0,940,1420,2.2,21.72,0.04,0.5,1,40.5,1,0.28,1,111.33,1,1
3,732,0,0,1,56,2,692,3,732,1.06,71,299,346,244,0,940,1420,0.67,16.48,16.48,0.5,1,40.5,1,0.28,1,111.33,1,1
9,499,0,0,9,56,5,303,4,196,0.65,71,299,60.6,49,0.02,940,1420,1.25,0.14,0.04,0.29,1,7.57,1,0.14,1,0.14,1,1
45,20321,3,0,42,59,24,6252,21,14069,2.25,62,803,260.5,669.95,0,1420,1420,1.14,12.51,0.04,0.36,0.33,185.16,0.33,0.36,0.33,288.56,0.33,1
1,40,0,0,1,59,0,0,1,40,0,62,803,260.5,669.95,0,1420,1420,0,12.51,0.04,0.36,0.33,185.16,0.33,0.36,0.33,288.56,0.33,1
6,912,0,0,5,2,4,808,4,796,0.99,64,52,202,199,0.01,348,348,1,0.11,0.11,0.25,1,0.25,1,0.25,1,0.25,1,1
5,267,0,0,5,2,3,187,2,80,0.43,64,52,62.33,40,0.02,348,348,1.5,0.14,0,3,1,105,1,2,1,41,1,1
10,2615,2,0,13,2,9,2084,1,531,0.25,81,531,231.56,531,0,1079,531,9,0.09,0.1,8,1,1960,1,1,1,1,1,1
499,170863,20,1,446,53,348,106278,151,64585,0.61,52,184,305.4,427.72,0,1420,1420,2.3,0.08,0,1.08,0.02,410.66,0.02,0.22,0.02,114.24,0.02,1
411,238750,2,1,409,55,268,166435,143,72315,0.43,94,86,621.03,505.7,0,1420,1420,1.87,0.15,0.03,0.83,0.5,605.78,0.5,0.27,0.5,175.81,0.5,1
40,16743,0,0,40,55,20,1954,20,14789,7.57,94,86,97.7,739.45,0,1420,1420,1,0.16,0.16,0.19,0.5,17.85,0.5,0.33,0.5,271.19,0.5,1
25,15278,0,0,25,55,11,4559,14,10719,2.35,94,86,414.45,765.64,0,1420,1420,0.79,0.09,0.15,0.29,0.5,249,0.5,0.57,0.5,511.86,0.5,1
27,1473,0,0,27,55,20,1133,7,340,0.3,94,86,56.65,48.57,0.02,1420,1420,2.86,7.9,0.04,0.69,0.5,32.56,0.5,0.06,0.5,0.06,0.5,1
34,2430,2,0,32,57,22,1359,12,1071,0.79,52,52,61.77,89.25,0.01,98,535,1.83,0.11,0,0.28,0.5,14.24,0.5,0.04,0.5,0.04,0.5,1
113,34011,4,0,112,33,59,10917,56,23786,2.18,69,233,185.03,424.75,0,1378,1420,1.05,0.08,0.09,0.18,0.03,24,0.03,0.18,0.03,88.87,0.03,1
3,175,0,0,3,33,2,135,1,40,0.3,69,233,67.5,40,0.02,1378,1420,2,0.1,0,0.5,0.03,0.5,0.03,0.5,0.03,0.5,0.03,1
15,886,0,0,15,33,8,471,7,415,0.88,69,233,58.88,59.29,0.02,1378,1420,1.14,1.23,0.04,0.27,0.03,9.55,0.03,0.18,0.03,4.82,0.03,1
39,10270,4,0,35,37,26,4201,13,6069,1.44,52,336,161.58,466.85,0,1085,1420,2,0.11,0,0.94,0.25,218.63,0.25,0.31,0.25,112.56,0.25,1
