totalPkt,totalSize,DNSpkt,httpPkt,httpsPkt,DHCPpkt,TCPPkt,UDPPkt,inPkt,inByte,outPKT,outByte,ratioInOut,medianIn,medianOut,avgIn,avgOut,avgTotal,maxOutSize,maxInSize,rationNumInOut,minTimeOut,minTimeIn,avgNumpktFlowTCPIn,avgNumpktFlowUDPIn,avgSizepktFlowTCPIn,avgSizepktFlowUDPIn,avgNumpktFlowTCPOut,avgNumpktFlowUDPOut,avgSizepktFlowTCPOut,avgSizepktFlowUDPOut,result
697,268770,14,0,0,0,595,102,510,138235,187,130535,0.94,52,435,271.05,698.05,0,1420,1420,2.73,0.08,0,1.52,0.01,453.17,0.01,0.27,0.01,195.44,0.01,1
172,127603,0,0,0,0,168,106,110,67287,62,60316,0.9,103,1420,611.7,972.84,0,1420,1420,1.77,0.19,0.2,0.9,0.25,826.4,0.25,0.41,0.25,386.74,0.25,1
24,1345,0,0,0,0,23,107,14,825,10,520,0.63,40,52,58.93,52,0.02,305,52,1.4,0.11,0,0.05,1,0.05,1,0.05,1,0.05,1,1
32,3082,2,0,0,0,27,112,26,2290,6,792,0.35,52,52,88.08,132,0.01,305,532,4.33,9.74,0.04,0.29,0.2,13.9,0.2,0.05,0.2,0.05,0.2,1
89,13967,4,0,0,0,79,122,76,12366,13,1601,0.13,52,46,162.71,123.15,0.01,1420,535,5.85,0,0.16,1.68,0.1,319.43,0.1,0.18,0.1,6.61,0.1,1
8,1014,0,0,0,0,85,2,7,962,1,52,0.05,83,52,137.43,52,0.01,304,52,7,8.78,8.82,0.4,1,10.6,1,0.2,1,0.2,1,1
6,1172,0,0,0,2,3,5,5,1132,3,732,0.65,346,344,226.4,244,0.01,348,348,1.67,0.11,0,0.5,0.33,0.5,0.33,0.5,0.33,0.5,0.33,1
11,2117,0,0,0,0,5,11,11,2117,0,0,0,346,344,226.4,244,0.01,348,348,0,0.11,16.67,0.5,0.33,0.5,0.33,0.5,0.33,0.5,0.33,1
10,1844,0,0,0,0,5,16,10,1844,0,0,0,346,344,226.4,244,0.01,348,348,0,0.11,0,0.5,0.33,0.5,0.33,0.5,0.33,0.5,0.33,1
5,1523,0,0,0,0,5,5,5,1523,0,0,0,346,344,226.4,244,0.01,348,348,0,0.11,4.2,0.5,0.33,0.5,0.33,0.5,0.33,0.5,0.33,1
5,1522,0,0,0,0,5,5,5,1522,0,0,0,346,344,226.4,244,0.01,348,348,0,0.11,0.82,0.5,0.33,0.5,0.33,0.5,0.33,0.5,0.33,1
10364,7890874,24,0,0,2,10269,100,4912,416923,5454,7474643,17.93,52,1420,84.88,1370.49,0,1420,1420,0.9,0.24,0.13,0.11,0.01,17.44,0.01,0.19,0.01,267.3,0.01,1
687,140346,2,0,0,0,10916,40,603,107173,84,33173,0.31,52,90,177.73,394.92,0,1420,1420,7.18,3.78,0.26,2.82,0.03,461.63,0.03,0.16,0.03,63.51,0.03,1
