com.app.p9860DH.apk.pcap,2673,1869311,18,3,0,2655,414,1278,95788,1395,1773523,18.52,52,1420,74.95,1271.34,0
com.app.p9860DH.apk.pcap,316,175870,4,0,2,2965,6,151,20155,167,156407,7.76,52,1420,133.48,936.57,0
com.app.p9860DH.apk.pcap,880,504367,10,2,0,3835,10,394,61632,486,442735,7.18,52,1420,156.43,910.98,0
com.app.p9860DH.apk.pcap,229,94837,8,0,0,221,18,114,24401,115,70436,2.89,52,228,214.04,612.49,0
com.app.p9860DH.apk.pcap,282,175216,4,1,0,278,22,157,88678,125,86538,0.98,65,258,564.83,692.3,0
com.app.p9860DH.apk.pcap,641,249525,12,1,0,629,34,304,46001,337,203524,4.42,52,203,151.32,603.93,0
com.app.p9860DH.apk.pcap,5877,3508027,127,1,0,5472,439,2876,391626,3001,3116401,7.96,60,1420,136.17,1038.45,0
com.app.p9860DH.apk.pcap,337,90606,6,1,0,331,445,165,41835,172,48771,1.17,52,83,253.55,283.55,0
com.app.p9860DH.apk.pcap,5245,4012713,9,1,2,5565,11,2317,173500,2930,3839905,22.13,52,1420,74.88,1310.55,0
com.app.p9860DH.apk.pcap,3081,2245639,10,2,0,3071,21,1326,105501,1755,2140138,20.29,40,1420,79.56,1219.45,0
com.app.p9860DH.apk.pcap,432,182142,0,1,0,432,21,183,31878,249,150264,4.71,52,153,174.2,603.47,0
com.app.p9860DH.apk.pcap,281,118955,6,1,0,275,27,165,36266,116,82689,2.28,52,418,219.79,712.84,0
com.app.p9860DH.apk.pcap,329,105328,6,0,0,598,6,156,29665,173,75663,2.55,52,98,190.16,437.36,0
com.app.p9860DH.apk.pcap,377,128714,4,1,0,373,10,164,36330,213,92384,2.54,52,98,221.52,433.73,0
com.app.p9860DH.apk.pcap,489,237300,18,1,2,419,80,233,46121,258,191871,4.16,52,534,197.94,743.69,0
com.app.p9860DH.apk.pcap,285,174226,2,2,0,283,82,127,18945,158,155281,8.2,52,1420,149.17,982.79,0
com.app.p9860DH.apk.pcap,7520,6067916,8,0,0,7512,90,3226,213976,4294,5853940,27.36,52,1420,66.33,1363.28,0
com.app.p9860DH.apk.pcap,280,137925,0,1,0,280,90,129,27175,151,110750,4.08,52,564,210.66,733.44,0
com.app.p9860DH.apk.pcap,2377,1492054,9,1,0,2368,99,1092,104343,1285,1387711,13.3,52,1420,95.55,1079.93,0
com.app.p9860DH.apk.pcap,1193,779347,6,1,0,1187,105,561,61833,632,717514,11.6,64,1420,110.22,1135.31,0
com.app.p9860DH.apk.pcap,497,191280,2,1,0,495,107,208,54093,289,137187,2.54,98,129,260.06,474.7,0
