totalPkt,totalSize,DNSpkt,httpPkt,httpsPkt,DHCPpkt,TCPPkt,UDPPkt,inPkt,inByte,outPKT,outByte,ratioInOut,medianIn,medianOut,avgIn,avgOut,avgTotal,maxOutSize,maxInSize,rationNumInOut,minTimeOut,minTimeIn,avgNumpktFlowTCPIn,avgNumpktFlowUDPIn,avgSizepktFlowTCPIn,avgSizepktFlowUDPIn,avgNumpktFlowTCPOut,avgNumpktFlowUDPOut,avgSizepktFlowTCPOut,avgSizepktFlowUDPOut,result
194,27650,17,0,0,0,2373,22,98,10112,95,17488,1.73,53,52,103.18,184.08,0.01,1266,3597,1.03,0.01,0,0.3,0.05,35.95,0.05,0.38,0.05,114.99,0.05,0
560,571455,11,0,0,0,544,38,154,13007,405,558366,42.93,52,1470,84.46,1378.68,0,1520,10260,0.38,0.13,0.14,0.63,0.06,57.52,0.06,2.69,0.06,4166.27,0.06,0
134,20110,10,0,0,0,120,52,75,11327,65,9537,0.84,64,52,151.03,146.72,0.01,1500,3678,1.15,0.13,0.15,0.24,0.07,82.6,0.07,0.23,0.07,66.22,0.07,0
784,550161,11,0,0,0,768,68,371,34838,434,517828,14.86,80,1470,93.9,1193.15,0,1625,2888,0.85,0.14,0.14,1.46,0.06,132.92,0.06,1.9,0.06,2641.82,0.06,0
151,38694,12,0,0,0,133,86,87,12398,66,26438,2.13,52,109,142.51,400.58,0,1289,4148,1.32,0.13,0.14,0.24,0.06,54.44,0.06,0.18,0.06,185.34,0.06,0
440,346660,11,0,0,0,424,102,157,14939,282,331669,22.2,52,1470,95.15,1176.13,0,1449,2888,0.56,0.1,0,0.84,0.06,78.92,0.06,2.06,0.06,2722.83,0.06,0
178,42382,12,0,0,0,160,120,97,9674,80,32656,3.38,52,89.5,99.73,408.2,0,659,4396,1.21,0.04,0.11,0.52,0.06,73.74,0.06,0.39,0.06,315.58,0.06,0
795,587124,17,0,0,0,767,148,317,29941,484,557668,18.63,52,1470,94.45,1152.21,0,1500,5711,0.65,0.49,0,0.61,0.04,73.11,0.04,1.29,0.04,1776.8,0.04,0
602,556085,13,0,0,0,582,20,199,26416,403,529669,20.05,52,1470,132.74,1314.32,0,1450,5844,0.49,0.06,0,0.94,0.05,151.79,0.05,2.55,0.05,3757.29,0.05,0
96,13289,9,0,0,0,84,32,45,8221,53,5240,0.64,60,88,182.69,98.87,0.01,1500,396,0.85,0.03,4.04,0.35,0.08,135.54,0.08,0.42,0.08,39.6,0.08,0
874,560451,18,0,0,0,844,62,405,44970,487,517480,11.51,64,1470,111.04,1062.59,0,1826,3678,0.83,0.05,4.9,1.01,0.03,113.19,0.03,1.39,0.03,1879.5,0.03,0
107,26745,9,0,0,0,95,74,59,9869,51,17354,1.76,52,100,167.27,340.27,0,1500,1571,1.16,2.51,0.08,0.33,0.08,102.27,0.08,0.27,0.08,208.8,0.08,0
514,547895,11,0,0,0,498,90,130,8460,390,539683,63.79,52,1470,65.08,1383.8,0,793,2888,0.33,5.99,6.93,0.84,0.06,59.93,0.06,3.83,0.06,5783.86,0.06,0
751,372391,20,0,0,0,1215,34,386,64003,371,309191,4.83,52,455,165.81,833.4,0,1720,7292,1.04,0.01,0.02,0.87,0.03,165.48,0.03,0.87,0.03,988.94,0.03,0
910,477831,16,0,0,0,884,60,442,48162,490,435307,9.04,52,1218,108.96,888.38,0,1488,4396,0.9,0.02,0.48,0.82,0.04,93.6,0.04,1.02,0.04,1252.38,0.04,0
1171,492003,26,0,0,0,1123,108,620,68990,558,423921,6.14,52,246.5,111.27,759.72,0,1747,4396,1.11,0,0.19,0.66,0.02,88.64,0.02,0.64,0.02,787.87,0.02,0
1288,909385,20,0,0,0,2377,34,557,52974,745,858270,16.2,52,1470,95.11,1152.04,0,1732,4396,0.75,0.04,0.04,0.93,0.03,99.81,0.03,1.46,0.03,2030.19,0.03,0
693,323331,12,0,0,0,675,52,366,32136,336,292149,9.09,52,450,87.8,869.49,0,1270,11636,1.09,0.01,0.01,1.12,0.06,97.23,0.06,1.04,0.06,1200.32,0.06,0
1123,951885,14,0,0,0,1776,22,397,34789,730,917515,26.37,52,1470,87.63,1256.87,0,1248,7142,0.54,0.01,0,1.11,0.05,86.9,0.05,2.58,0.05,3708.2,0.05,0
573,321889,11,0,0,0,557,38,268,20627,304,301180,14.6,52,1500,76.97,990.72,0,618,6498,0.88,0.14,0.14,1.11,0.06,88.4,0.06,1.4,0.06,1803.36,0.06,0
1356,874472,19,0,0,0,1324,70,619,61259,736,813131,13.27,52,1470,98.96,1104.8,0,1500,7142,0.84,0.15,0.15,1.03,0.03,101.56,0.03,1.38,0.03,1846.72,0.03,0
581,310821,11,0,0,0,565,86,287,24583,304,287308,11.69,52,1500,85.66,945.09,0,953,8740,0.94,0.02,0.14,0.96,0.06,79.63,0.06,1.1,0.06,1418.32,0.06,0
11,775,0,0,0,0,11,86,4,354,6,369,1.04,125,52,88.5,61.5,0.01,198,109,0.67,0.11,0,0.25,0.06,24.88,0.06,0.25,0.06,13.75,0.06,0
1083,850466,12,0,0,0,1075,19,448,33817,637,816547,24.15,52,1470,75.48,1281.86,0,1270,5724,0.7,0.07,0.07,1.67,0.06,123.18,0.06,2.66,0.06,3818.51,0.06,0
569,291453,11,0,0,0,553,35,296,24621,277,267217,10.85,52,1500,83.18,964.68,0,1090,4148,1.07,0.14,0.15,1.23,0.06,108.94,0.06,1.15,0.06,1535.16,0.06,0
956,717537,12,0,0,0,938,53,407,36350,548,681105,18.74,52,1470,89.31,1242.89,0,2948,5724,0.74,0.14,0.14,1.39,0.06,133.34,0.06,2.09,0.06,2939.65,0.06,0
738,324061,17,0,0,0,710,81,395,41168,347,283329,6.88,58,500,104.22,816.51,0,1500,4396,1.14,0.06,0.07,1.21,0.04,139.72,0.04,1.02,0.04,1201.05,0.04,0
